year,month,day,hour,Quarter,Days_since_start,Overturning_Strength
2004,12,1,0,4,244,11.506672
2004,12,1,12,4,244.5,11.37505
2004,12,2,0,4,245,11.400198
2004,12,2,12,4,245.5,11.583851
2004,12,3,0,4,246,11.917977
2004,12,3,12,4,246.5,12.385251
2004,12,4,0,4,247,12.960259
2004,12,4,12,4,247.5,13.611309
2004,12,5,0,4,248,14.302756
2004,12,5,12,4,248.5,14.997614
2004,12,6,0,4,249,15.660265
2004,12,6,12,4,249.5,16.259007
2004,12,7,0,4,250,16.768229
2004,12,7,12,4,250.5,17.170031
2004,12,8,0,4,251,17.455142
2004,12,8,12,4,251.5,17.623083
2004,12,9,0,4,252,17.681588
2004,12,9,12,4,252.5,17.64535
2004,12,10,0,4,253,17.534255
2004,12,10,12,4,253.5,17.371271
2004,12,11,0,4,254,17.180208
2004,12,11,12,4,254.5,16.983562
2004,12,12,0,4,255,16.800627
2004,12,12,12,4,255.5,16.646042
2004,12,13,0,4,256,16.528872
2004,12,13,12,4,256.5,16.452282
2004,12,14,0,4,257,16.413801
2004,12,14,12,4,257.5,16.406109
2004,12,15,0,4,258,16.418234
2004,12,15,12,4,258.5,16.437023
2004,12,16,0,4,259,16.448717
2004,12,16,12,4,259.5,16.440462
2004,12,17,0,4,260,16.401617
2004,12,17,12,4,260.5,16.32474
2004,12,18,0,4,261,16.206185
2004,12,18,12,4,261.5,16.046304
2004,12,19,0,4,262,15.849261
2004,12,19,12,4,262.5,15.622555
2004,12,20,0,4,263,15.376319
2004,12,20,12,4,263.5,15.122515
2004,12,21,0,4,264,14.874093
2004,12,21,12,4,264.5,14.644197
2004,12,22,0,4,265,14.445445
2004,12,22,12,4,265.5,14.289296
2004,12,23,0,4,266,14.1855
2004,12,23,12,4,266.5,14.14162
2004,12,24,0,4,267,14.162625
2004,12,24,12,4,267.5,14.250561
2004,12,25,0,4,268,14.404341
2004,12,25,12,4,268.5,14.619687
2004,12,26,0,4,269,14.889252
2004,12,26,12,4,269.5,15.20297
2004,12,27,0,4,270,15.5486
2004,12,27,12,4,270.5,15.912455
2004,12,28,0,4,271,16.280235
2004,12,28,12,4,271.5,16.637898
2004,12,29,0,4,272,16.972478
2004,12,29,12,4,272.5,17.272761
2004,12,30,0,4,273,17.529794
2004,12,30,12,4,273.5,17.73716
2004,12,31,0,4,274,17.891073
2004,12,31,12,4,274.5,17.990282
2005,1,1,0,1,275,18.035874
2005,1,1,12,1,275.5,18.030996
2005,1,2,0,1,276,17.980578
2005,1,2,12,1,276.5,17.891067
2005,1,3,0,1,277,17.770203
2005,1,3,12,1,277.5,17.62683
2005,1,4,0,1,278,17.470722
2005,1,4,12,1,278.5,17.312396
2005,1,5,0,1,279,17.162865
2005,1,5,12,1,279.5,17.033315
2005,1,6,0,1,280,16.934657
2005,1,6,12,1,280.5,16.876965
2005,1,7,0,1,281,16.868803
2005,1,7,12,1,281.5,16.91649
2005,1,8,0,1,282,17.023353
2005,1,8,12,1,282.5,17.189074
2005,1,9,0,1,283,17.409221
2005,1,9,12,1,283.5,17.675057
2005,1,10,0,1,284,17.973716
2005,1,10,12,1,284.5,18.288795
2005,1,11,0,1,285,18.601367
2005,1,11,12,1,285.5,18.891357
2005,1,12,0,1,286,19.13918
2005,1,12,12,1,286.5,19.327468
2005,1,13,0,1,287,19.442705
2005,1,13,12,1,287.5,19.476545
2005,1,14,0,1,288,19.426651
2005,1,14,12,1,288.5,19.296914
2005,1,15,0,1,289,19.097002
2005,1,15,12,1,289.5,18.841275
2005,1,16,0,1,290,18.547218
2005,1,16,12,1,290.5,18.23356
2005,1,17,0,1,291,17.918368
2005,1,17,12,1,291.5,17.617341
2005,1,18,0,1,292,17.342544
2005,1,18,12,1,292.5,17.101709
2005,1,19,0,1,293,16.898183
2005,1,19,12,1,293.5,16.731478
2005,1,20,0,1,294,16.598299
2005,1,20,12,1,294.5,16.49388
2005,1,21,0,1,295,16.413409
2005,1,21,12,1,295.5,16.353308
2005,1,22,0,1,296,16.312191
2005,1,22,12,1,296.5,16.291326
2005,1,23,0,1,297,16.294514
2005,1,23,12,1,297.5,16.327375
2005,1,24,0,1,298,16.396106
2005,1,24,12,1,298.5,16.505844
2005,1,25,0,1,299,16.658858
2005,1,25,12,1,299.5,16.852799
2005,1,26,0,1,300,17.07927
2005,1,26,12,1,300.5,17.322956
2005,1,27,0,1,301,17.561485
2005,1,27,12,1,301.5,17.766126
2005,1,28,0,1,302,17.903352
2005,1,28,12,1,302.5,17.937162
2005,1,29,0,1,303,17.832017
2005,1,29,12,1,303.5,17.556114
2005,1,30,0,1,304,17.084706
2005,1,30,12,1,304.5,16.403133
2005,1,31,0,1,305,15.509243
2005,1,31,12,1,305.5,14.414919
2005,2,1,0,1,306,13.146512
2005,2,1,12,1,306.5,11.744065
2005,2,2,0,1,307,10.259359
2005,2,2,12,1,307.5,8.7528743
2005,2,3,0,1,308,7.2899437
2005,2,3,12,1,308.5,5.936378
2005,2,4,0,1,309,4.7539595
2005,2,4,12,1,309.5,3.7961751
2005,2,5,0,1,310,3.1045526
2005,2,5,12,1,310.5,2.7059017
2005,2,6,0,1,311,2.610679
2005,2,6,12,1,311.5,2.8125951
2005,2,7,0,1,312,3.2894734
2005,2,7,12,1,312.5,4.0052632
2005,2,8,0,1,313,4.9130144
2005,2,8,12,1,313.5,5.9585448
2005,2,9,0,1,314,7.0844776
2005,2,9,12,1,314.5,8.2343076
2005,2,10,0,1,315,9.356164
2005,2,10,12,1,315.5,10.405975
2005,2,11,0,1,316,11.349811
2005,2,11,12,1,316.5,12.165254
2005,2,12,0,1,317,12.841759
2005,2,12,12,1,317.5,13.380033
2005,2,13,0,1,318,13.790566
2005,2,13,12,1,318.5,14.091504
2005,2,14,0,1,319,14.306091
2005,2,14,12,1,319.5,14.459916
2005,2,15,0,1,320,14.578225
2005,2,15,12,1,320.5,14.683483
2005,2,16,0,1,321,14.79338
2005,2,16,12,1,321.5,14.919393
2005,2,17,0,1,322,15.065993
2005,2,17,12,1,322.5,15.230525
2005,2,18,0,1,323,15.403743
2005,2,18,12,1,323.5,15.570953
2005,2,19,0,1,324,15.713653
2005,2,19,12,1,324.5,15.811546
2005,2,20,0,1,325,15.84474
2005,2,20,12,1,325.5,15.795964
2005,2,21,0,1,326,15.652576
2005,2,21,12,1,326.5,15.408201
2005,2,22,0,1,327,15.063826
2005,2,22,12,1,327.5,14.628237
2005,2,23,0,1,328,14.117762
2005,2,23,12,1,328.5,13.555312
2005,2,24,0,1,329,12.968809
2005,2,24,12,1,329.5,12.389128
2005,2,25,0,1,330,11.847744
2005,2,25,12,1,330.5,11.374284
2005,2,26,0,1,331,10.994209
2005,2,26,12,1,331.5,10.726825
2005,2,27,0,1,332,10.583804
2005,2,27,12,1,332.5,10.568342
2005,2,28,0,1,333,10.675017
2005,2,28,12,1,333.5,10.890359
2005,3,1,0,1,334,11.194069
2005,3,1,12,1,334.5,11.560794
2005,3,2,0,1,335,11.962285
2005,3,2,12,1,335.5,12.369777
2005,3,3,0,1,336,12.756391
2005,3,3,12,1,336.5,13.099359
2005,3,4,0,1,337,13.381888
2005,3,4,12,1,337.5,13.594499
2005,3,5,0,1,338,13.73571
2005,3,5,12,1,338.5,13.811973
2005,3,6,0,1,339,13.836846
2005,3,6,12,1,339.5,13.829444
2005,3,7,0,1,340,13.812285
2005,3,7,12,1,340.5,13.80872
2005,3,8,0,1,341,13.840194
2005,3,8,12,1,341.5,13.923593
2005,3,9,0,1,342,14.068982
2005,3,9,12,1,342.5,14.277968
2005,3,10,0,1,343,14.542905
2005,3,10,12,1,343.5,14.847065
2005,3,11,0,1,344,15.165808
2005,3,11,12,1,344.5,15.468676
2005,3,12,0,1,345,15.722236
2005,3,12,12,1,345.5,15.893386
2005,3,13,0,1,346,15.952806
2005,3,13,12,1,346.5,15.878174
2005,3,14,0,1,347,15.656806
2005,3,14,12,1,347.5,15.287422
2005,3,15,0,1,348,14.780846
2005,3,15,12,1,348.5,14.159554
2005,3,16,0,1,349,13.456093
2005,3,16,12,1,349.5,12.710554
2005,3,17,0,1,350,11.967319
2005,3,17,12,1,350.5,11.271425
2005,3,18,0,1,351,10.664881
2005,3,18,12,1,351.5,10.183292
2005,3,19,0,1,352,9.8530881
2005,3,19,12,1,352.5,9.6896011
2005,3,20,0,1,353,9.6961333
2005,3,20,12,1,353.5,9.8640576
2005,3,21,0,1,354,10.173897
2005,3,21,12,1,354.5,10.597235
2005,3,22,0,1,355,11.099247
2005,3,22,12,1,355.5,11.641602
2005,3,23,0,1,356,12.185463
2005,3,23,12,1,356.5,12.694357
2005,3,24,0,1,357,13.136676
2005,3,24,12,1,357.5,13.487657
2005,3,25,0,1,358,13.730734
2005,3,25,12,1,358.5,13.858188
2005,3,26,0,1,359,13.87112
2005,3,26,12,1,359.5,13.778778
2005,3,27,0,1,360,13.597336
2005,3,27,12,1,360.5,13.348237
2005,3,28,0,1,361,13.056258
2005,3,28,12,1,361.5,12.747442
2005,3,29,0,1,362,12.447079
2005,3,29,12,1,362.5,12.177874
2005,3,30,0,1,363,11.958459
2005,3,30,12,1,363.5,11.802348
2005,3,31,0,1,364,11.717412
